rank,name,country_name,country_id,active,value
507,Alexander Waske,Germany,GER,false,35.47%
508,George Bastl,Switzerland,SUI,false,35.44%
509,Joern Renzenbrink,Germany,GER,false,35.40%
510,Feliciano Lopez,Spain,ESP,true,35.39%
511,Andreas Beck,Germany,GER,false,35.38%
512,Matteo Berrettini,Italy,ITA,true,35.22%
513,Markus Zoecke,Germany,GER,false,35.16%
514,Gary Muller,South Africa,RSA,false,35.08%
515,Brian Baker,United States,USA,false,35.07%
516,Bryan Shelton,United States,USA,false,35.06%
517,Laslo Djere,Serbia,SRB,true,34.95%
518,Antony Dupuis,France,FRA,false,34.86%
519,Marius Copil,Romania,ROU,true,34.84%
520,Laurence Tieleman,Italy,ITA,false,34.71%
521,Attila Savolt,Hungary,HUN,false,34.69%
522,Joachim Johansson,Sweden,SWE,false,34.45%
523,Evgeny Donskoy,Russian Federation,RUS,true,34.39%
524,Gilles Muller,Luxembourg,LUX,false,34.39%
525,Michiel Schapers,Netherlands,NED,false,34.31%
526,Stephane Simian,France,FRA,false,34.24%
527,Amer Delic,Bosnia and Herzegovina,BIH,false,34.05%
528,Chris Pridham,Canada,CAN,false,34.02%
529,Nicolas Pereira,"Venezuela, Bolivarian Republic of",VEN,false,34.00%
530,Daniele Bracciali,Italy,ITA,false,33.98%
531,Matthias Bachinger,Germany,GER,true,33.97%
532,Frank Dancevic,Canada,CAN,false,33.92%
533,Dick Norman,Belgium,BEL,false,33.12%
534,Wesley Moodie,South Africa,RSA,false,32.96%
535,Jamie Morgan,Australia,AUS,false,32.89%
536,Robert Kendrick,United States,USA,false,32.72%
537,James Ward,United Kingdom,GBR,true,32.40%
538,Bobby Reynolds,United States,USA,false,32.30%
539,Grant Connell,Canada,CAN,false,32.13%
540,Daniel Brands,Germany,GER,false,31.88%
541,Lorenzo Sonego,Italy,ITA,true,31.81%
542,Samuel Groth,Australia,AUS,false,31.70%
543,John Isner,United States,USA,true,30.60%
544,Ivo Karlovic,Croatia,CRO,true,30.17%
545,Wayne Arthurs,Australia,AUS,false,30.08%
546,Kenny De Schepper,France,FRA,false,28.83%
547,Chris Guccione,Australia,AUS,false,28.17%
548,Reilly Opelka,United States,USA,true,27.72%
