ESP,Jordi Burillo,0.587,N
ARG,Jose Acasuso,0.581,N
ESP,Juan Albert Viloca Puig,0.535,N
CRC,Juan Antonio Marin,0.605,N
ESP,Juan Balcells,0.505,N
ESP,Juan Carlos Ferrero,0.665,N
ARG,Juan Ignacio Chela,0.661,N
ARG,Juan Martin Del Potro,0.606,A
ARG,Juan Monaco,0.687,N
ESP,Julian Alonso,0.597,N
FRA,Julien Benneteau,0.563,A
FRA,Julien Boutter,0.479,N
AUT,Jurgen Melzer,0.568,N
USA,Justin Gimelstob,0.515,N
CZE,Karel Novacek,0.611,N
RUS,Karen Khachanov,0.527,A
MAR,Karim Alami,0.591,N
SVK,Karol Beck,0.521,N
SVK,Karol Kucera,0.677,N
GER,Karsten Braasch,0.528,N
JPN,Kei Nishikori,0.66,A
DEN,Kenneth Carlsen,0.469,N
FRA,Kenny De Schepper,0.363,A
RSA,Kevin Anderson,0.458,A
USA,Kevin Kim,0.522,N
DEN,Kristian Pless,0.457,N
BEL,Kristof Vliegen,0.509,N
GBR,Kyle Edmund,0.526,A
GER,Lars Burgsmuller,0.541,N
SWE,Lars Jonsson,0.619,N
ITA,Laurence Tieleman,0.458,N
IND,Leander Paes,0.522,N
ARG,Leonardo Mayer,0.487,A
FRA,Lionel Roux,0.493,N
AUS,Lleyton Hewitt,0.694,N
FRA,Lucas Pouille,0.507,A
MEX,Luis Herrera,0.662,N
PER,Luis Horna,0.503,N
BRA,Luiz Mattar,0.524,N
SVK,Lukas Lacko,0.448,A
CZE,Lukas Rosol,0.455,A
POL,Lukasz Kubot,0.543,N
SWE,Magnus Gustafsson,0.7,N
SWE,Magnus Larsson,0.556,N
SWE,Magnus Norman,0.619,N
TUN,Malek Jaziri,0.512,A
USA,Malivai Washington,0.602,N
RUS,Marat Safin,0.571,N
FRA,Marc Gicquel,0.506,N
GER,Marc Kevin Goellner,0.487,N
SUI,Marc Rosset,0.532,N
ESP,Marcel Granollers,0.578,A
URU,Marcelo Filippini,0.676,N
CHI,Marcelo Rios,0.681,N
SUI,Marco Chiudinelli,0.447,A
ESP,Marcos Aurelio Gorriz,0.549,N
CYP,Marcos Baghdatis,0.564,A
RSA,Marcos Ondruska,0.613,N
USA,Mardy Fish,0.535,N
ARG,Mariano Puerta,0.536,N
