NED,Robin Haase,0.558,A
SWE,Robin Soderling,0.442,N
FRA,Rodolphe Gilbert,0.676,N
SUI,Roger Federer,0.342,A
BRA,Rogerio Dutra Silva,0.671,A
USA,Ronald Agenor,0.701,N
ESP,Ruben Ramirez Hidalgo,0.727,N
USA,Ryan Harrison,0.566,A
USA,Ryan Sweeting,0.72,N
USA,Sam Querrey,0.413,A
AUS,Samuel Groth,0.428,A
AUS,Sandon Stolle,0.558,N
COL,Santiago Giraldo,0.575,A
ESP,Santiago Ventura,0.718,N
ARM,Sargis Sargsian,0.629,N
AUS,Scott Draper,0.566,N
FRA,Sebastien Grosjean,0.547,N
CAN,Sebastien Lareau,0.629,N
ESP,Sergi Bruguera,0.592,N
UKR,Sergiy Stakhovsky,0.546,A
JPN,Shuzo Matsuoka,0.495,N
GER,Simon Greul,0.645,N
ITA,Simone Bolelli,0.525,A
NED,Sjeng Schalken,0.583,N
CZE,Slava Dosedel,0.684,N
IND,Somdev Devvarman,0.662,N
SUI,Stan Wawrinka,0.481,A
SWE,Stefan Edberg,0.481,N
AUT,Stefan Koubek,0.661,N
ITA,Stefano Pescosolido,0.628,N
FRA,Stephane Robert,0.692,A
FRA,Stephane Simian,0.578,N
BEL,Steve Darcis,0.567,A
USA,Steve Johnson,0.448,A
JPN,Taro Daniel,0.688,A
USA,Taylor Dent,0.515,N
USA,Taylor Harry Fritz,0.551,A
RUS,Teymuraz Gabashvili,0.644,A
NED,Thiemo De Bakker,0.549,A
FRA,Thierry Champion,0.685,N
SWE,Thomas Enqvist,0.501,N
SWE,Thomas Johansson,0.507,N
AUT,Thomas Muster,0.553,N
BRA,Thomaz Bellucci,0.567,A
GBR,Tim Henman,0.505,N
USA,Tim Smyczek,0.663,A
GER,Tobias Kamke,0.666,N
USA,Todd Martin,0.461,N
AUS,Todd Woodbridge,0.628,N
GER,Tomas Behrend,0.703,N
CZE,Tomas Berdych,0.429,A
ESP,Tomas Carbonell,0.733,N
CZE,Tomas Zib,0.672,N
GER,Tommy Haas,0.483,N
USA,Tommy Ho,0.597,N
ESP,Tommy Robredo,0.55,A
CAN,Vasek Pospisil,0.465,A
DOM,Victor Estrella,0.62,A
ROU,Victor Hanescu,0.548,N
SRB,Viktor Troicki,0.576,A
USA,Vincent Spadea,0.651,N
BLR,Vladimir Voltchkov,0.602,N
AUS,Wally Masur,0.499,N
AUS,Wayne Arthurs,0.363,N
ZIM,Wayne Black,0.701,N
RSA,Wayne Ferreira,0.52,N
USA,Wayne Odesnik,0.675,N
RSA,Wesley Moodie,0.44,N
BEL,Xavier Malisse,0.541,N
TPE,Yen Hsun Lu,0.581,A
RUS,Yevgeny Kafelnikov,0.538,N
MAR,Younes El Aynaoui,0.522,N
JPN,Yuichi Sugita,0.614,A
